Strain	Isoniazid	Rifampsin	Pyrazinamode	Strptomycin	Kanamycin
SRR2100042 	0	0	0	1	0
ERR038262 	0	0	0	1	0
ERR038263 	0	0	0	1	0
ERR038280 	0	0	0	1	0
ERR039345 	0	0	0	1	0
SRR2100086 	0	0	0	1	0
ERR046877 	0	0	0	1	0
ERR046982 	0	0	0	1	0
ERR046983 	0	0	0	1	0
SRR2100112 	0	0	0	1	0
SRR2101610 	0	0	0	0	1
SRR2101694 	0	0	0	0	1
ERR046825 	0	1	0	0	0
SRR2100226 	0	1	0	0	0
SRR2100398 	0	1	0	0	0
SRR2100601 	0	1	0	0	0
SRR2100757 	0	1	0	0	0
SRR2101427 	0	1	0	0	0
SRR2101495 	0	1	0	0	0
SRR2099963 	1	0	0	0	0
SRR2099964 	1	0	0	0	0
SRR2099967 	1	0	0	0	0
SRR2099970 	1	0	0	0	0
SRR2099973 	1	0	0	0	0
SRR2099975 	1	0	0	0	0
SRR2099977 	1	0	0	0	0
ERR046747 	0	0	1	0	0
ERR046748 	0	0	1	0	0
ERR046749 	0	0	1	0	0
SRR2100074 	0	0	1	0	0
ERR046954 	0	0	1	0	0
ERR046961 	0	0	1	0	0
ERR046989 	0	0	1	0	0
SRR2100821 	0	0	1	0	0
SRR2100896 	0	0	1	0	0
SRR2101511 	0	0	1	0	0
SRR2101524 	0	0	1	0	0
SRR2101581 	0	0	1	0	0
