Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2100042	7/23/2015 13:26	7/23/2015 13:23	1292074	519413748	1292074	402	291		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2100042/SRR2100042.1	SRX1094736	8e31225e-cd1b-4840-ad65-1eb8465630bd	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS991805	SAMN03647215	simple	1773	Mycobacterium tuberculosis	8e31225e-cd1b-4840-ad65-1eb8465630bd							no					UNIVERSITY OF OXFORD	SRA277626		public	274D7F4FA74E61C540C100339D6ED20D	B9C8F214AF900684E665A49DB1AF1A9F
ERR038262	11/3/2011 23:25	9/1/2014 5:40	8652002	1297800300	8652002	150	675	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR038262/ERR038262.4	ERX015458	2515484	WGS	RANDOM	GENOMIC	PAIRED	241	74	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024246	SAMEA961673	simple	1773	Mycobacterium tuberculosis	SAMEA961673							no					SC	ERA038048		public	19F3E080CE9EEE1542E55000F3B3512D	5AC6DA15DD0C3AEDC357CFD681E6EC50
ERR038263	11/3/2011 23:25	9/1/2014 5:39	7878598	1181789700	7878598	150	611	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR038263/ERR038263.3	ERX015459	2515485	WGS	RANDOM	GENOMIC	PAIRED	241	74	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024247	SAMEA961672	simple	1773	Mycobacterium tuberculosis	SAMEA961672							no					SC	ERA038048		public	13257C467B669B1BDCF5EEF7C8A7C4B8	62FF05B9D95D7427E9AAF1390FF3425D
ERR038280	11/3/2011 23:25	9/1/2014 5:59	9262794	1389419100	9262794	150	731	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR038280/ERR038280.4	ERX015476	2516558	WGS	RANDOM	GENOMIC	PAIRED	260	74	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024264	SAMEA961598	simple	1773	Mycobacterium tuberculosis	SAMEA961598							no					SC	ERA038048		public	200023C45DEFD5869187F07B765C87F5	EDAA4C5C62B0EB7E8ACB1F5FD77B1530
ERR039345	11/3/2011 23:26	9/1/2014 13:49	7015177	1052276550	7015177	150	540	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR039345/ERR039345.3	ERX016541	2511393	WGS	RANDOM	GENOMIC	PAIRED	243	79	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024235	SAMEA961665	simple	1773	Mycobacterium tuberculosis	SAMEA961665							no					SC	ERA039676		public	F19EE93BEC2249DB9596CF9FA97720BB	510D807CB9E3B832002359624921C587
SRR2100821	7/24/2015 7:51	7/24/2015 7:49	1286794	257358800	1286794	200	162		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2100821/SRR2100821.1	SRX1095515	C00014730	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS991527	SAMN03647994	simple	1773	Mycobacterium tuberculosis	C00014730							no					UNIVERSITY OF OXFORD	SRA277626		public	48DE45B8BD3E75DE33C3FB64ECE8A593	74D17669FBE87982127CB84A210FAEC1
SRR2100896	7/23/2015 11:59	7/23/2015 11:57	967475	193495000	967475	200	122		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2100896/SRR2100896.1	SRX1095590	C00014818	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS990536	SAMN03648069	simple	1773	Mycobacterium tuberculosis	C00014818							no					UNIVERSITY OF OXFORD	SRA277626		public	F1A011F6304A4820CD840E00095C69BE	E0D8D641E857E29E5D9DA93ABB01CD2A
SRR2101511	7/23/2015 18:27	7/23/2015 18:24	237739	115887047	237739	487	72		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2101511/SRR2101511.1	SRX1096205	98821d67-9992-4549-b0bd-1308e8301923	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS990761	SAMN03648758	simple	1773	Mycobacterium tuberculosis	98821d67-9992-4549-b0bd-1308e8301923							no					UNIVERSITY OF OXFORD	SRA277626		public	EA10F322A1C6C9EE682FF4C0C708CCAB	43720DAA85FDAB5A3A6FA86846A47FF1
SRR2101524	7/23/2015 23:33	7/23/2015 23:30	696553	264741204	696553	380	165		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2101524/SRR2101524.1	SRX1096218	bfc79e67-7c79-4f83-a251-9dc09a340a52	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS990750	SAMN03648771	simple	1773	Mycobacterium tuberculosis	bfc79e67-7c79-4f83-a251-9dc09a340a52							no					UNIVERSITY OF OXFORD	SRA277626		public	2A4BF6A17A5FB179B89BF466C2BBF405	7A3E5D4F0D2B14DFEBEC787C1A20E446
SRR2101581	7/23/2015 10:36	7/23/2015 10:34	715315	212755615	715315	297	127		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2101581/SRR2101581.1	SRX1096275	89365b77-b75b-4dd5-972b-6f43cab00518	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS990702	SAMN03648828	simple	1773	Mycobacterium tuberculosis	89365b77-b75b-4dd5-972b-6f43cab00518							no					UNIVERSITY OF OXFORD	SRA277626		public	12CC21E294CA09A8949AF5CFF5DFF93F	D0F36E5C42A80CB2BE9C85CE73F9CB69
