Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2100042	7/23/2015 13:26	7/23/2015 13:23	1292074	519413748	1292074	402	291		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2100042/SRR2100042.1	SRX1094736	8e31225e-cd1b-4840-ad65-1eb8465630bd	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS991805	SAMN03647215	simple	1773	Mycobacterium tuberculosis	8e31225e-cd1b-4840-ad65-1eb8465630bd							no					UNIVERSITY OF OXFORD	SRA277626		public	274D7F4FA74E61C540C100339D6ED20D	B9C8F214AF900684E665A49DB1AF1A9F
ERR038262	11/3/2011 23:25	9/1/2014 5:40	8652002	1297800300	8652002	150	675	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR038262/ERR038262.4	ERX015458	2515484	WGS	RANDOM	GENOMIC	PAIRED	241	74	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024246	SAMEA961673	simple	1773	Mycobacterium tuberculosis	SAMEA961673							no					SC	ERA038048		public	19F3E080CE9EEE1542E55000F3B3512D	5AC6DA15DD0C3AEDC357CFD681E6EC50
ERR038263	11/3/2011 23:25	9/1/2014 5:39	7878598	1181789700	7878598	150	611	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR038263/ERR038263.3	ERX015459	2515485	WGS	RANDOM	GENOMIC	PAIRED	241	74	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024247	SAMEA961672	simple	1773	Mycobacterium tuberculosis	SAMEA961672							no					SC	ERA038048		public	13257C467B669B1BDCF5EEF7C8A7C4B8	62FF05B9D95D7427E9AAF1390FF3425D
ERR038280	11/3/2011 23:25	9/1/2014 5:59	9262794	1389419100	9262794	150	731	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR038280/ERR038280.4	ERX015476	2516558	WGS	RANDOM	GENOMIC	PAIRED	260	74	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024264	SAMEA961598	simple	1773	Mycobacterium tuberculosis	SAMEA961598							no					SC	ERA038048		public	200023C45DEFD5869187F07B765C87F5	EDAA4C5C62B0EB7E8ACB1F5FD77B1530
ERR039345	11/3/2011 23:26	9/1/2014 13:49	7015177	1052276550	7015177	150	540	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR039345/ERR039345.3	ERX016541	2511393	WGS	RANDOM	GENOMIC	PAIRED	243	79	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS024235	SAMEA961665	simple	1773	Mycobacterium tuberculosis	SAMEA961665							no					SC	ERA039676		public	F19EE93BEC2249DB9596CF9FA97720BB	510D807CB9E3B832002359624921C587
SRR2100086	7/23/2015 22:39	7/23/2015 22:37	8199110	1229866500	8199110	150	916		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2100086/SRR2100086.1	SRX1094780	C00005351	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS991763	SAMN03647259	simple	1773	Mycobacterium tuberculosis	C00005351							no					UNIVERSITY OF OXFORD	SRA277626		public	A3E90DA57D357C59F44D49F1E479FE75	07AFBAC20807854E1196CEB110539D12
ERR046877	11/3/2011 23:12	9/4/2014 1:44	3772044	565806600	3772044	150	346	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR046877/ERR046877.5	ERX023939	2803440	WGS	RANDOM	GENOMIC	PAIRED	232	70	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS031526	SAMEA1018869	simple	1773	Mycobacterium tuberculosis	SAMEA1018869							no					SC	ERA052545		public	105D549B32B7685241A301814D54FEA7	E88296F55CFF8349D0024B8409DB50B0
ERR046982	11/3/2011 23:12	9/4/2014 2:37	2567389	385108350	2567389	150	201	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR046982/ERR046982.4	ERX024044	2919465	WGS	RANDOM	GENOMIC	PAIRED	240	70	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS035777	SAMEA1019271	simple	1773	Mycobacterium tuberculosis	SAMEA1019271							no					SC	ERA052545		public	E7562F7DB02D58482DD06A47F6082ABD	0A3A7D949C64C5FB0E3499B3FA322BAF
ERR046983	11/3/2011 23:12	9/4/2014 2:37	3113613	467041950	3113613	150	243	GCA_000195955.1	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR046983/ERR046983.4	ERX024045	2919466	WGS	RANDOM	GENOMIC	PAIRED	240	70	ILLUMINA	Illumina HiSeq 2000	ERP000276	PRJEB2221		203976	ERS035778	SAMEA1019281	simple	1773	Mycobacterium tuberculosis	SAMEA1019281							no					SC	ERA052545		public	E82998B3EB9124096FE867651163F4D0	03D842C5F6B94A1245FE522DDA2A13C7
SRR2100112	7/17/2015 0:00	7/24/2015 19:52	3049694	457454100	3049694	150	333		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2100112/SRR2100112.1	SRX1094806	C00007306	WGS	RANDOM	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP061066	PRJNA282721		282721	SRS991739	SAMN03647285	simple	1773	Mycobacterium tuberculosis	C00007306							no					UNIVERSITY OF OXFORD	SRA277626		public	D697D6976325D2FFE15EE6C0E6E15CC8	641AE2E16CEF26D122211FC31437A5A5
